01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Indicador,05. Filtro 1,06. Filtro 2,07. Filtro 3,08. Escala,09. Símbolo,10. Valor
2004,,Portugal,PIB per capita,,,, euros por pessoa,,14522
2004,Alemanha,,PIB per capita,,,, euros por pessoa,,28150
2004,Áustria,,PIB per capita,,,, euros por pessoa,,29440
2004,Bélgica,,PIB per capita,,,, euros por pessoa,,28480
2004,Bulgária,,PIB per capita,,,, euros por pessoa,,2710
2004,Chéquia,,PIB per capita,,,, euros por pessoa,,9490
2004,Chipre,,PIB per capita,,,, euros por pessoa,,19150
2004,Croácia,,PIB per capita,,,, euros por pessoa,,7850
2004,Dinamarca,,PIB per capita,,,, euros por pessoa,,37560
2004,Eslováquia,,PIB per capita,,,, euros por pessoa,,6430
2004,Eslovénia,,PIB per capita,,,, euros por pessoa,,13760
2004,Espanha,,PIB per capita,,,, euros por pessoa,,20070
2004,Estónia,,PIB per capita,,,, euros por pessoa,,7160
2004,Finlândia,,PIB per capita,,,, euros por pessoa,,30360
2004,França,,PIB per capita,,,, euros por pessoa,,27140
2004,Grécia,,PIB per capita,,,, euros por pessoa,,17240
2004,Hungria,,PIB per capita,,,, euros por pessoa,,8290
2004,Irlanda,,PIB per capita,,,, euros por pessoa,,38420
2004,Itália,,PIB per capita,,,, euros por pessoa,,25200
2004,Letónia,,PIB per capita,,,, euros por pessoa,,4960
2004,Lituânia,,PIB per capita,,,, euros por pessoa,,5420
2004,Luxemburgo,,PIB per capita,,,, euros por pessoa,,61480
2004,Malta,,PIB per capita,,,, euros por pessoa,,12250
2004,Países Baixos,,PIB per capita,,,, euros por pessoa,,32650
2004,Polónia,,PIB per capita,,,, euros por pessoa,,5420
2004,Portugal,,PIB per capita,,,, euros por pessoa,,14520
2004,Roménia,,PIB per capita,,,, euros por pessoa,,2820
2004,Suécia,,PIB per capita,,,, euros por pessoa,,34440
2005,,Portugal,PIB per capita,,,, euros por pessoa,,15095
2005,Alemanha,,PIB per capita,,,, euros por pessoa,,28590
2005,Áustria,,PIB per capita,,,, euros por pessoa,,30680
2005,Bélgica,,PIB per capita,,,, euros por pessoa,,29590
2005,Bulgária,,PIB per capita,,,, euros por pessoa,,3110
2005,Chéquia,,PIB per capita,,,, euros por pessoa,,10790
2005,Chipre,,PIB per capita,,,, euros por pessoa,,20360
2005,Croácia,,PIB per capita,,,, euros por pessoa,,8540
2005,Dinamarca,,PIB per capita,,,, euros por pessoa,,39380
2005,Eslováquia,,PIB per capita,,,, euros por pessoa,,7280
2005,Eslovénia,,PIB per capita,,,, euros por pessoa,,14450
2005,Espanha,,PIB per capita,,,, euros por pessoa,,21260
2005,Estónia,,PIB per capita,,,, euros por pessoa,,8350
2005,Finlândia,,PIB per capita,,,, euros por pessoa,,31390
2005,França,,PIB per capita,,,, euros por pessoa,,27990
2005,Grécia,,PIB per capita,,,, euros por pessoa,,17730
2005,Hungria,,PIB per capita,,,, euros por pessoa,,9020
2005,Irlanda,,PIB per capita,,,, euros por pessoa,,40940
2005,Itália,,PIB per capita,,,, euros por pessoa,,25770
2005,Letónia,,PIB per capita,,,, euros por pessoa,,5910
2005,Lituânia,,PIB per capita,,,, euros por pessoa,,6320
2005,Luxemburgo,,PIB per capita,,,, euros por pessoa,,65020
2005,Malta,,PIB per capita,,,, euros por pessoa,,12710
2005,Países Baixos,,PIB per capita,,,, euros por pessoa,,33890
2005,Polónia,,PIB per capita,,,, euros por pessoa,,6470
2005,Portugal,,PIB per capita,,,, euros por pessoa,,15100
2005,Roménia,,PIB per capita,,,, euros por pessoa,,3720
2005,Suécia,,PIB per capita,,,, euros por pessoa,,34930
2006,,Portugal,PIB per capita,,,, euros por pessoa,,15801
2006,Alemanha,,PIB per capita,,,, euros por pessoa,,29890
2006,Áustria,,PIB per capita,,,, euros por pessoa,,32160
2006,Bélgica,,PIB per capita,,,, euros por pessoa,,30830
2006,Bulgária,,PIB per capita,,,, euros por pessoa,,3560
2006,Chéquia,,PIB per capita,,,, euros por pessoa,,12130
2006,Chipre,,PIB per capita,,,, euros por pessoa,,21660
2006,Croácia,,PIB per capita,,,, euros por pessoa,,9420
2006,Dinamarca,,PIB per capita,,,, euros por pessoa,,41560
2006,Eslováquia,,PIB per capita,,,, euros por pessoa,,8460
2006,Eslovénia,,PIB per capita,,,, euros por pessoa,,15590
2006,Espanha,,PIB per capita,,,, euros por pessoa,,22650
2006,Estónia,,PIB per capita,,,, euros por pessoa,,10050
2006,Finlândia,,PIB per capita,,,, euros por pessoa,,32820
2006,França,,PIB per capita,,,, euros por pessoa,,29120
2006,Grécia,,PIB per capita,,,, euros por pessoa,,19450
2006,Hungria,,PIB per capita,,,, euros por pessoa,,9140
2006,Irlanda,,PIB per capita,,,, euros por pessoa,,43310
2006,Itália,,PIB per capita,,,, euros por pessoa,,26710
2006,Letónia,,PIB per capita,,,, euros por pessoa,,7410
2006,Lituânia,,PIB per capita,,,, euros por pessoa,,7340
2006,Luxemburgo,,PIB per capita,,,, euros por pessoa,,72260
