01. Ano,02. Nome Região (Portugal),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
1995,Portugal,Comunicações,,,,,4.92
1995,Portugal,Educação,,,,,9.51
1995,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,4.38
1995,Portugal,"Lazer, recreação e cultura",,,,,4.90
1995,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,2.72
1995,Portugal,Restaurantes e hotéis,,,,,6.08
1995,Portugal,Saúde,,,,,6.19
1995,Portugal,Total,,,,,4.22
1995,Portugal,Transportes,,,,,4.35
1995,Portugal,Vestuário e calçado,,,,,2.04
1996,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,3.00
1996,Portugal,Bebidas alcoólicas e tabaco,,,,,3.83
1996,Portugal,Bens e serviços diversos,,,,,5.85
1996,Portugal,Comunicações,,,,,5.17
1996,Portugal,Educação,,,,,-5.09
1996,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,2.71
1996,Portugal,"Lazer, recreação e cultura",,,,,5.46
1996,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,2.03
1996,Portugal,Restaurantes e hotéis,,,,,3.37
