01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2010,Finlândia,,,,,,,188147.0
2010,França,,,,,,,1996075.1
2010,Grécia,,,,,,,223590.5
2010,Hungria,,,,,,,99562.8
2010,Irlanda,,,,,,,167255.1
2010,Itália,,,,,,,1617944.7
2010,Letónia,,,,,,,17572.2
2010,Lituânia,,,,,,,27663.4
2010,Luxemburgo,,,,,,,42402.7
2010,Malta,,,,,,,6862.0
2010,Países Baixos,,,,,,,643022.0
2010,Polónia,,,,,,,360890.7
2010,Portugal,,,,,,,179860.4
2010,Roménia,,,,,,,128305.3
2010,Suécia,,,,,,,372381.5
2010,União Europeia 27,,,,,,,11047428.7
2011,,Portugal,,,,,,176318.0
2011,Alemanha,,,,,,,2746910.0
2011,Áustria,,,,,,,308167.0
2011,Bélgica,,,,,,,378745.4
2011,Bulgária,,,,,,,41479.9
2011,Chéquia,,,,,,,166545.5
2011,Chipre,,,,,,,19858.1
2011,Croácia,,,,,,,45769.6
2011,Dinamarca,,,,,,,248105.0
2011,Eslováquia,,,,,,,71629.5
2011,Eslovénia,,,,,,,36782.2
2011,Espanha,,,,,,,1068690.0
2011,Estónia,,,,,,,16741.9
2011,Finlândia,,,,,,,197655.0
2011,França,,,,,,,2062141.4
2011,Grécia,,,,,,,203475.0
2011,Hungria,,,,,,,101986.9
2011,Irlanda,,,,,,,173120.4
2011,Itália,,,,,,,1657362.2
2011,Letónia,,,,,,,19022.6
2011,Lituânia,,,,,,,31066.4
2011,Luxemburgo,,,,,,,44323.5
2011,Malta,,,,,,,7032.8
2011,Países Baixos,,,,,,,656013.0
2011,Polónia,,,,,,,379540.6
2011,Portugal,,,,,,,176318.0
2011,Roménia,,,,,,,138528.2
2011,Suécia,,,,,,,410287.8
2011,União Europeia 27,,,,,,,11407298.0
2012,,Portugal,,,,,,168538.8
2012,Alemanha,,,,,,,2799280.0
2012,Áustria,,,,,,,316589.4
2012,Bélgica,,,,,,,387934.9
2012,Bulgária,,,,,,,42255.3
2012,Chéquia,,,,,,,163759.4
2012,Chipre,,,,,,,19495.4
2012,Croácia,,,,,,,44870.7
2012,Dinamarca,,,,,,,254300.7
2012,Eslováquia,,,,,,,73727.6
2012,Eslovénia,,,,,,,35933.6
2012,Espanha,,,,,,,1035964.0
2012,Estónia,,,,,,,18086.6
2012,Finlândia,,,,,,,200378.0
2012,França,,,,,,,2088286.7
2012,Grécia,,,,,,,185899.2
2012,Hungria,,,,,,,99979.9
2012,Irlanda,,,,,,,176621.9
2012,Itália,,,,,,,1632898.5
2012,Letónia,,,,,,,21270.9
2012,Lituânia,,,,,,,33240.4
2012,Luxemburgo,,,,,,,46526.2
2012,Malta,,,,,,,7479.5
2012,Países Baixos,,,,,,,658232.0
2012,Polónia,,,,,,,387660.3
2012,Portugal,,,,,,,168538.8
2012,Roménia,,,,,,,139307.7
2012,Suécia,,,,,,,427901.2
